type,title,strength,description,weakness
LPIR,姉御肌・みんなのママ タイプ,"人間力と信頼感で、お客様を「ファン」に変える","場をリードする会話力(L)と、サバサバした人間的魅力(P)が光るタイプ。人懐っこく(I)、誰の懐にもスッと入るのが得意です。さらに、マメな連絡(R)も欠かさないため、お客様からは「頼れる姉貴」「地元の友達」のように深く信頼されます。色恋を超えた人間力でファンを作る、お店のムードメーカーです。","頼られすぎて疲弊しやすいです。また、一歩引いて静かに待つような受け身の接客は不得意です。"
FCIH,天性の甘え上手・小悪魔 タイプ,"本能をくすぐる「小悪魔的魅力」で、エースを狙う才能","聞き上手(F)で相手を立てつつ、ここぞという場面で女性らしさ(C)を武器にする天性の才能。人懐っこく(I)甘える姿は、お客様の「守ってあげたい」本能を強烈にくすぐります。連絡は気まぐれ(H)ですが、その「手に入らなさ」がさらに魅力を高め、太客を掴むエース気質の持ち主です。","長期的な関係構築が苦手で、急な来店が減ると一気に売上も落ちる傾向があります。また、同性からの支持は得にくいかもしれません。"
LPOR,才色兼備・プロフェッショナル タイプ,"知性と一線を引く「格」で、ハイクラス層を魅了する","高い知性(P)と会話力(L)で、お客様を対等なパートナーとして楽しませます。馴れ合いを嫌い、プロとしての高い一線(O)を引く姿は、まさに「高嶺の花」。しかし、営業連絡(R)は完璧にこなし、そのギャップがお客様の心を掴みます。経営者やハイクラス層からの絶大な支持を得る、孤高の才女です。","完璧主義が邪魔をして、お客様の「隙」や「弱み」に共感しにくいです。高い目標を持つお客様以外には壁を感じさせてしまうことがあります。"
FPOR,癒し系・カウンセラー タイプ,"「圧倒的な安心感」と「知性」で、お客様の心を解かす","穏やかな聞き役(F)に徹し、お客様の心に寄り添います。プロの距離感(O)を保ちつつ、知的な会話(P)で相手の承認欲求を満たすのが得意。マメな連絡(R)で築いた信頼関係は固く、接待や「心から癒されたい」と願うお客様にとって、唯一無二の存在となります。","受け身になりすぎて会話をリードできず、お客様を退屈にさせてしまうことがあります。異性としての魅力(C)での勝負は難しいでしょう。"
FPOH,クールな戦略家タイプ,"冷静な分析眼と「的確な一手」で結果を出す、凄腕戦略家","一見クールな聞き役(F)で、プロの距離(O)を保ちます。しかし頭脳は常にフル回転。お客様が求める知的な会話(P)を的確に提供し、心に刺さるアドバイスも。連絡は最小限(H)ですが、お客様の状況を完璧に把握し、最適なタイミングでイベントを仕掛ける、凄腕の戦略家です。","感情表現が乏しく見え、冷たい印象を持たれやすいです。長期的に顧客を「育てる」作業には忍耐力が必要です。"
FPIR,健気な妹・後輩タイプ,"「裏表のない健気さ」で、お客様の庇護欲を刺激する","聞き上手(F)で人懐っこく(I)、素直に相手の懐に飛び込みます。サバサバした性格(P)で「妹みたいだ」と可愛がられ、マメな連絡(R)で「いつも気にかけてくれる」安心感を育てるのが得意。健気で裏表のない姿が、お客様の庇護欲を刺激する愛されキャラです。","友達のような関係になりすぎて、色恋的な緊張感が生まれにくいです。お客様の要求を断れず、尽くしすぎる傾向があります。"
FPIH,自由奔放な猫タイプ,"「捕まえられない魅力」で、お客様を本能的に夢中にさせる","人懐っこく(I)甘えてきたかと思えば、サバサバした態度(P)で聞き役(F)に徹する。連絡は気まぐれ(H)で、決して媚びない。そんな自由奔放な姿が「目が離せない」とお客様を夢中にさせます。捕まえられない猫のように、本能で人を惹きつける魅力の持ち主です。","自分のペースを崩せず、マメさ(R)を求めるお客様は離れていきます。本質的に自由なので、組織的な動きは苦手かもしれません。"
FCOR,高嶺の花・お姫様タイプ,"お客様を「育てる」ことで、自分だけの王子様にする才能","基本は聞き役(F)ですが、決して安売りしないプロの距離感(O)を保ちます。女性としての魅力(C)を完璧に演出し、マメな連絡(R)でじっくりとお客様を教育。「この子にふさわしい男になりたい」とお客様に努力させる、まさに「育てる」タイプのお姫様です。","敷居が高く、新規のお客様が指名しにくいです。感情的な起伏が少なく、近寄りがたい印象を与えがちです。"
FCOH,ミステリアスな魔性タイプ,"「追わせる」ことを徹底し、お客様の独占欲を煽る魔性","相手の話を聞き(F)ながらも、本心を見せないミステリアスな魅力(O)が最大武器。計算された色気(C)で相手を翻弄し、営業連絡はせず(H)にお客様から「会いたい」と言わせます。追えば逃げる、まさに魔性。気づけば高額を使わせてしまう、危険な魅力の持ち主です。","連絡が来ないことに不安を感じるお客様を切り捨てがちです。感情の交流を求めてくるお客様には対応が難しいでしょう。"
FCIR,尽くす大和撫子タイプ,"「徹底的に尽くす」ことで、疑似恋愛の頂点を極める","徹底してお客様を立てる聞き役(F)。人懐っこさ(I)と女性らしさ(C)をフルに使い、お客様に尽くします。毎日のマメな連絡(R)も欠かさず、「自分だけを特別扱いしてくれる」という優越感を与えます。疑似恋愛のプロフェッショナルで、指名が途切れない人気キャストです。","お客様のペースに合わせすぎ、自己主張ができないことがあります。尽くしすぎて、対等な関係を築くのが難しいです。"
LPOH,カリスマ・リーダータイプ,"「この子と話したい」とお客様から会いに来させる別格の存在","圧倒的な会話力(L)と知性(P)で、その場を完全に支配します。馴れ合いは好まずプロの距離(O)を保ち、営業はピンポイント(H)。「あの人と話すためだけに来た」とお客様に言わせる、別格のカリスマ。お店の「顔」として君臨する、選ばれし存在です。","カリスマ性が高すぎて、お客様に「自分にはもったいない」と感じさせてしまうことがあります。親しみやすさに欠けます。"
LPIH,豪快なムードメーカータイプ,"「とにかく楽しい！」という「圧倒的な引力」で稼ぐ才能","自分が中心(L)となって場を盛り上げ、一瞬で懐に入る(I)天才。裏表のないサバサバした性格(P)で、男女問わず人気者に。営業は気まぐれ(H)でも、その圧倒的な楽しさが全てをカバー。「あの子がいないと始まらない」と言われる、お店の太陽です。","楽しさが優先され、お客様の深い悩みや感情を汲み取るのが苦手です。勢いで売上を上げるため、安定感に欠けることがあります。"
LCOR,完璧主義の女王様タイプ,"「プロ意識の高さ」と「完璧なギャップ」でファンを魅了する","会話(L)も色気(C)も自分が主導権を握ります。プロの距離感(O)を保ち、簡単には心を許しません。しかし、営業連絡(R)は誰よりも完璧。その徹底したプロ意識とギャップが、お客様を「自分だけが落とせるかも」と夢中にさせる、完璧主義の女王様です。","融通が利かない印象を持たれやすいです。お客様の小さな失敗や失言を許せず、プレッシャーを与えてしまうことがあります。"
